beta,target,variant,variant_name,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,ae_only_rescue_recall,flag_rate_all,false_alert_rate_benign,case1_pct,case2_pct,case3_pct,case4_pct,case5_pct
4.0,Recon_VulScan,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),973,522,0.8026819923371648,0.894141829393628,0.44061302681992337,0.9684119569456711,0.25367617730741615,0.0328879753340185,0.5971223021582733,0.0421377183967112,0.10585817060637205,0.22199383350462487
4.0,Recon_VulScan,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),973,522,0.7452107279693486,0.8633093525179856,0.44061302681992337,0.9675657986165591,0.23519557529183396,0.07091469681397738,0.5590955806783144,0.050359712230215826,0.1366906474820144,0.1829393627954779
4.0,MQTT_Malformed_Data,vae_p90,VAE-only baseline (p90),1747,472,0.2796610169491525,0.8053806525472238,0.3347457627118644,0.9637070924879072,0.16933017789241364,0.44876931883228394,0.0755580995993131,0.28105323411562677,0.19461934745277618,0.0
4.0,MQTT_Malformed_Data,vae_p95,VAE-only baseline (p95),1747,472,0.1483050847457627,0.7698912421293647,0.3347457627118644,0.9610486983731346,0.11029861461961869,0.34688036634230107,0.04006868918145392,0.38294218660560964,0.23010875787063537,0.0
4.0,MQTT_Malformed_Data,vae_p99,VAE-only baseline (p99),1747,472,0.02754237288135593,0.7372638809387522,0.3347457627118644,0.9568033371139613,0.014359028904193369,0.22323983972524328,0.007441327990841442,0.5065827132226675,0.26273611906124783,0.0
4.0,MQTT_Malformed_Data,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,1747,472,0.7838983050847458,0.9416141957641672,0.3347457627118644,0.9682752267256026,0.25580344084877815,0.2678878076702919,0.2564396107613051,0.22610188895248998,0.05838580423583286,0.19118488838008013
4.0,MQTT_Malformed_Data,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,1747,472,0.7457627118644068,0.931310818546079,0.3347457627118644,0.9674021706482806,0.23745579280453108,0.29307384087006294,0.23125357756153406,0.2386949055523755,0.06868918145392101,0.16828849456210646
4.0,MQTT_Malformed_Data,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,1747,472,0.6652542372881356,0.909559244419004,0.3347457627118644,0.965390443230061,0.19182598984231658,0.21064682312535776,0.17630223239839726,0.3211219232970807,0.090440755580996,0.2014882655981683
4.0,MQTT_Malformed_Data,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,1747,472,0.7182203389830508,0.9238694905552376,0.3347457627118644,0.9663307436779084,0.21134363283431276,0.19461934745277618,0.19232970807097882,0.2993703491700057,0.07613050944476245,0.23755008586147683
4.0,MQTT_Malformed_Data,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),1747,472,0.7457627118644068,0.931310818546079,0.3347457627118644,0.9674021706482806,0.23745579280453108,0.29307384087006294,0.23125357756153406,0.2386949055523755,0.06868918145392101,0.16828849456210646
