sweep,threshold_name,threshold,coverage,n_retained,n_deferred,retained_accuracy,retained_macro_f1,retained_mcc,deferred_error_rate,deferred_mistakes_avoided
entropy_ceiling,tau_H,0.4,0.9994519583802176,891779,489,0.992896222046045,0.91122828569333,0.9909223015014,0.4458077709611452,218
entropy_ceiling,tau_H,0.45,0.9997086077277231,892008,260,0.9927758495439503,0.9093708921936999,0.9907694413786661,0.41923076923076924,109
entropy_ceiling,tau_H,0.5,0.9998453379477915,892130,138,0.9927039781197807,0.9084157023517085,0.9906780789935196,0.3188405797101449,44
entropy_ceiling,tau_H,0.55,0.9998968919651943,892176,92,0.9926774537759366,0.9082799932032786,0.9906443530242807,0.21739130434782608,20
entropy_ceiling,tau_H,0.6,0.9999159445368432,892193,75,0.9926742307998382,0.908237888460254,0.9906402927227784,0.22666666666666666,17
entropy_ceiling,tau_H,0.65,0.9999338763689833,892209,59,0.9926687581048835,0.9080897498128365,0.990633357389166,0.2033898305084746,12
entropy_ceiling,tau_H,0.7,0.9999596533776848,892232,36,0.9926611015968941,0.9079017318287255,0.990623637969965,0.1388888888888889,5
entropy_ceiling,tau_H,0.75,0.9999876718654037,892257,11,0.9926579449642872,0.9076316246585449,0.9906196837672125,0.18181818181818182,2
entropy_ceiling,tau_H,0.8,0.9999966377814737,892265,3,0.9926580107927577,0.9076316312003221,0.9906197932359786,0.6666666666666666,2
entropy_ceiling,tau_H,0.85,1.0,892268,0,0.9926557939991124,0.907626622882394,0.9906169668153739,,0
entropy_ceiling,tau_H,0.9,1.0,892268,0,0.9926557939991124,0.907626622882394,0.9906169668153739,,0
