cell,trained_on,tested_on,class,f1,precision,recall,support
C1-c,dedup,raw,MQTT_DDoS_Connect_Flood,0.9999403590385877,0.9999045778763807,0.9999761427617139,41916.0
C1-c,dedup,raw,MQTT_DDoS_Publish_Flood,0.8938657559437804,0.9992657856093979,0.808578897338403,8416.0
C1-c,dedup,raw,MQTT_DoS_Connect_Flood,0.9995206902061032,1.0,0.9990418396678378,3131.0
C1-c,dedup,raw,MQTT_DoS_Publish_Flood,0.9134357211899903,0.840664228526243,1.0,8505.0
C1-c,dedup,raw,MQTT_Malformed_Data,0.8970861748295103,0.9783637592968222,0.8282770463651975,1747.0
C1-c,dedup,raw,Recon_OS_Scan,0.757041723151077,0.8959001782531194,0.655451225873761,3834.0
C1-c,dedup,raw,Recon_Ping_Sweep,0.7988338192419825,0.8726114649681529,0.7365591397849462,186.0
C1-c,dedup,raw,Recon_Port_Scan,0.9434193821413458,0.9048218199529182,0.9854566351339404,22622.0
C1-c,dedup,raw,Recon_VulScan,0.47575360419397117,0.7378048780487805,0.35106382978723405,1034.0
C1-d,dedup,dedup,ARP_Spoofing,0.7578818487909397,0.8128693368351937,0.7098623853211009,1744.0
C1-d,dedup,dedup,Benign,0.9679226001672219,0.9661915107837422,0.9696599037413247,37607.0
C1-d,dedup,dedup,DDoS_ICMP,0.9977393380578627,0.9971567831031681,0.9983225740863112,19673.0
C1-d,dedup,dedup,DDoS_SYN,0.9986176824265854,0.9979447670174414,0.9992915059434779,88921.0
C1-d,dedup,dedup,DDoS_TCP,0.9793346201884864,0.9713931749070841,0.9874069834001145,8735.0
C1-d,dedup,dedup,DDoS_UDP,0.9998342903068115,0.9998094385895141,0.9998591432595907,362070.0
C1-d,dedup,dedup,DoS_ICMP,0.9795232090314058,0.9943916118019995,0.9650928884155722,8451.0
C1-d,dedup,dedup,DoS_SYN,0.9995385041380795,0.9998768927736058,0.9992003444669988,97542.0
C1-d,dedup,dedup,DoS_TCP,0.9998355958476208,0.9999530218683202,0.9997181974027194,42583.0
C1-d,dedup,dedup,DoS_UDP,0.9994764740527452,0.9996509217846624,0.999302087195481,137553.0
C1-d,dedup,dedup,MQTT_DDoS_Connect_Flood,0.9999403590385877,0.9999045778763807,0.9999761427617139,41916.0
C1-d,dedup,dedup,MQTT_DDoS_Publish_Flood,0.8938657559437804,0.9992657856093979,0.808578897338403,8416.0
C1-d,dedup,dedup,MQTT_DoS_Connect_Flood,0.9995206902061032,1.0,0.9990418396678378,3131.0
C1-d,dedup,dedup,MQTT_DoS_Publish_Flood,0.9134357211899903,0.840664228526243,1.0,8505.0
C1-d,dedup,dedup,MQTT_Malformed_Data,0.8970861748295103,0.9783637592968222,0.8282770463651975,1747.0
C1-d,dedup,dedup,Recon_OS_Scan,0.6930327868852459,0.8720990201134605,0.5749744984699082,2941.0
C1-d,dedup,dedup,Recon_Ping_Sweep,0.7766990291262136,0.8571428571428571,0.7100591715976331,169.0
C1-d,dedup,dedup,Recon_Port_Scan,0.9373314217675504,0.8944903070216121,0.9844826706140575,19591.0
C1-d,dedup,dedup,Recon_VulScan,0.4542897327707454,0.7193763919821826,0.3319630010277492,973.0
