percentile,ent_threshold,target,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,false_alert_rate_benign
91.5,0.1815398350358018,ARP_Spoofing,1744,316,0.8955696202531646,0.9810779816513762,0.24375781104581593
92.0,0.20010040998458875,Recon_Ping_Sweep,169,31,1.0,1.0,0.2623979578270003
92.0,0.20010040998458875,Recon_VulScan,973,522,0.814176245210728,0.9003083247687564,0.26330204483207914
92.0,0.20010040998458875,MQTT_Malformed_Data,1747,472,0.8283898305084746,0.9536348025186033,0.2596059244289627
92.0,0.20010040998458875,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.2636743159518175
92.0,0.20010040998458875,ARP_Spoofing,1744,316,0.8860759493670886,0.9793577981651376,0.23838647060387694
92.5,0.22130724601447582,Recon_Ping_Sweep,169,31,1.0,1.0,0.25721275294493046
92.5,0.22130724601447582,Recon_VulScan,973,522,0.8122605363984674,0.8992805755395683,0.25862206504108276
92.5,0.22130724601447582,MQTT_Malformed_Data,1747,472,0.8220338983050848,0.9519175729822553,0.2555109421118409
92.5,0.22130724601447582,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.2587816098066849
92.5,0.22130724601447582,ARP_Spoofing,1744,316,0.8512658227848101,0.9730504587155964,0.23229717871672828
93.0,0.2497143611311912,Recon_Ping_Sweep,169,31,1.0,1.0,0.252426409976866
93.0,0.2497143611311912,Recon_VulScan,973,522,0.8026819923371648,0.894141829393628,0.25367617730741615
93.0,0.2497143611311912,MQTT_Malformed_Data,1747,472,0.8072033898305084,0.9479107040641099,0.2501927832584359
93.0,0.2497143611311912,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.2537027681016832
93.0,0.2497143611311912,ARP_Spoofing,1744,316,0.8259493670886076,0.9684633027522935,0.226659930332119
93.5,0.2797542780637749,Recon_Ping_Sweep,169,31,1.0,1.0,0.248118701305608
93.5,0.2797542780637749,Recon_VulScan,973,522,0.7911877394636015,0.8879753340184995,0.24915574228202197
93.5,0.2797542780637749,MQTT_Malformed_Data,1747,472,0.8072033898305084,0.9479107040641099,0.24492780599356503
93.5,0.2797542780637749,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.24950142260749328
93.5,0.2797542780637749,ARP_Spoofing,1744,316,0.8006329113924051,0.9638761467889908,0.22171404259845243
94.0,0.3132252871990181,Recon_Ping_Sweep,169,31,1.0,1.0,0.2430664503948733
94.0,0.3132252871990181,Recon_VulScan,973,522,0.7816091954022989,0.8828365878725591,0.24482144281649693
94.0,0.3132252871990181,MQTT_Malformed_Data,1747,472,0.8029661016949152,0.9467658843732112,0.2404871433509719
94.0,0.3132252871990181,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.2450075783763661
94.0,0.3132252871990181,ARP_Spoofing,1744,316,0.7721518987341772,0.9587155963302753,0.21756587869279656
94.5,0.35513002946972877,Recon_Ping_Sweep,169,31,0.967741935483871,0.9940828402366864,0.2376951099529343
94.5,0.35513002946972877,Recon_VulScan,973,522,0.7567049808429118,0.869475847893114,0.23979578270002924
94.5,0.35513002946972877,MQTT_Malformed_Data,1747,472,0.7838983050847458,0.9416141957641672,0.2355678464115723
94.5,0.35513002946972877,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.23998191825989842
94.5,0.35513002946972877,ARP_Spoofing,1744,316,0.75,0.9547018348623854,0.21238067381072673
95.0,0.3946473151445389,Recon_Ping_Sweep,169,31,0.967741935483871,0.9940828402366864,0.2333076288988752
95.0,0.3946473151445389,Recon_VulScan,973,522,0.7452107279693486,0.8633093525179856,0.23519557529183396
95.0,0.3946473151445389,MQTT_Malformed_Data,1747,472,0.7733050847457628,0.9387521465369204,0.2318983168027229
95.0,0.3946473151445389,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.23540830164597015
95.0,0.3946473151445389,ARP_Spoofing,1744,316,0.7278481012658228,0.9506880733944955,0.20873773499614434
95.5,0.4612793691456318,Recon_Ping_Sweep,169,31,0.9032258064516129,0.9822485207100592,0.22703220145185737
95.5,0.4612793691456318,Recon_VulScan,973,522,0.7279693486590039,0.8540596094552929,0.22915946499321935
95.5,0.4612793691456318,MQTT_Malformed_Data,1747,472,0.7542372881355932,0.9336004579278764,0.22644720397798282
95.5,0.4612793691456318,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.22971787167282687
95.5,0.4612793691456318,ARP_Spoofing,1744,316,0.6867088607594937,0.9432339449541285,0.20381843805674477
96.0,0.5137742877006487,Recon_Ping_Sweep,169,31,0.9032258064516129,0.9822485207100592,0.2230967639003377
96.0,0.5137742877006487,Recon_VulScan,973,522,0.7011494252873564,0.8396711202466598,0.22450607599649003
96.0,0.5137742877006487,MQTT_Malformed_Data,1747,472,0.7266949152542372,0.9261591299370349,0.22208631371819076
96.0,0.5137742877006487,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.22572925253277315
96.0,0.5137742877006487,ARP_Spoofing,1744,316,0.6613924050632911,0.9386467889908257,0.20092004148163906
96.5,0.5757263690233223,Recon_Ping_Sweep,169,31,0.9032258064516129,0.9822485207100592,0.21892200920041482
96.5,0.5757263690233223,Recon_VulScan,973,522,0.6762452107279694,0.8263103802672148,0.21948041588002234
96.5,0.5757263690233223,MQTT_Malformed_Data,1747,472,0.684322033898305,0.9147109330280481,0.21753928789852953
96.5,0.5757263690233223,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.22043768447363524
96.5,0.5757263690233223,ARP_Spoofing,1744,316,0.629746835443038,0.9329128440366973,0.19748982902119286
97.0,0.6468810081481934,Recon_Ping_Sweep,169,31,0.8709677419354839,0.9763313609467456,0.21424202940941847
97.0,0.6468810081481934,Recon_VulScan,973,522,0.6360153256704981,0.8047276464542652,0.2141888478208844
97.0,0.6468810081481934,MQTT_Malformed_Data,1747,472,0.6377118644067796,0.9021179164281625,0.2120084026909884
97.0,0.6468810081481934,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.21570452309410482
97.0,0.6468810081481934,ARP_Spoofing,1744,316,0.6075949367088608,0.9288990825688074,0.19416597973781477
97.5,0.7210066094994545,Recon_Ping_Sweep,169,31,0.8064516129032258,0.9644970414201184,0.2090302337330816
